date,sales,region,sku
2022-04-13,199,South,SKU12
2023-03-12,174,South,SKU9
2022-09-28,185,South,SKU8
2022-04-17,181,North,SKU10
2022-03-13,201,North,SKU17
2023-12-02,198,West,SKU9
2022-01-21,200,West,SKU10
2023-09-07,201,North,SKU15
2022-05-02,189,South,SKU4
2023-04-12,180,North,SKU7
2022-08-03,183,North,SKU16
2022-11-27,210,East,SKU8
2023-04-04,188,South,SKU14
2022-03-29,201,North,SKU20
2023-01-08,199,East,SKU7
2022-04-10,179,West,SKU14
2023-10-26,192,East,SKU6
2022-05-11,216,South,SKU9
2023-10-24,207,West,SKU14
2022-11-05,207,West,SKU16
2022-12-10,208,South,SKU4
2023-05-07,193,West,SKU20
2023-02-18,182,West,SKU3
2023-01-21,187,East,SKU13
2022-07-11,201,West,SKU16
2022-10-04,194,South,SKU4
2022-06-10,211,West,SKU3
2023-04-05,218,East,SKU7
2022-11-10,181,North,SKU15
2022-01-22,198,West,SKU2
2022-09-10,177,South,SKU9
2023-07-15,205,North,SKU3
2023-04-20,202,West,SKU10
2022-02-28,183,South,SKU18
2023-05-26,194,East,SKU15
2023-11-13,190,North,SKU16
2023-04-21,208,East,SKU13
2023-12-01,235,East,SKU12
2022-07-09,219,East,SKU12
2023-11-18,201,South,SKU1
2023-07-17,203,South,SKU15
2023-07-21,217,East,SKU1
2022-09-01,196,East,SKU8
2023-05-20,219,South,SKU16
2022-05-11,208,West,SKU16
2023-04-30,209,North,SKU3
2023-10-09,203,South,SKU19
2022-01-21,192,West,SKU14
2022-06-16,211,South,SKU9
2022-10-01,183,South,SKU12
2023-01-23,220,North,SKU16
2023-08-24,219,South,SKU1
2022-11-12,178,West,SKU7
2022-01-14,207,South,SKU18
2022-08-30,200,North,SKU11
2022-12-12,220,South,SKU3
2023-07-19,201,East,SKU10
2022-12-06,191,North,SKU12
2022-04-02,213,South,SKU8
2023-01-02,215,East,SKU3
2023-03-31,180,East,SKU2
2023-03-04,202,North,SKU7
2023-05-24,188,North,SKU12
2022-02-04,216,South,SKU13
2022-07-25,198,West,SKU19
2022-03-22,195,North,SKU20
2023-07-16,215,South,SKU11
2023-01-23,208,East,SKU13
2022-01-02,201,East,SKU8
2023-01-25,189,South,SKU20
2023-07-20,232,North,SKU5
2022-04-16,182,South,SKU19
2023-04-22,210,South,SKU20
2023-12-04,194,North,SKU8
2023-02-06,209,West,SKU7
2023-12-31,164,West,SKU5
2023-07-10,195,West,SKU9
2022-06-11,174,South,SKU12
2022-07-21,201,North,SKU4
2022-09-27,212,West,SKU3
2022-09-28,197,North,SKU11
2023-04-01,197,West,SKU18
2023-04-07,200,East,SKU19
2023-12-28,214,East,SKU2
2022-09-09,220,North,SKU9
2023-12-03,215,West,SKU10
2022-10-23,201,North,SKU19
2023-12-26,227,North,SKU6
2023-12-21,195,North,SKU9
2022-12-04,218,South,SKU19
2022-02-22,216,West,SKU18
2022-08-05,204,West,SKU20
2022-07-07,207,North,SKU19
2023-01-15,198,East,SKU4
2023-05-08,214,North,SKU4
2022-02-10,198,East,SKU17
2022-06-06,200,West,SKU13
2022-01-15,214,West,SKU3
2022-03-06,207,North,SKU4
2023-06-05,209,South,SKU7
2022-12-10,216,West,SKU10
2022-05-09,212,West,SKU13
2023-10-10,177,West,SKU4
2023-04-17,214,South,SKU7
2022-03-04,203,West,SKU11
2022-05-19,215,North,SKU16
2023-05-14,201,East,SKU12
2023-08-16,185,West,SKU6
2023-01-27,211,West,SKU5
2023-11-06,196,South,SKU13
2023-02-23,228,East,SKU1
2022-10-16,185,East,SKU15
2023-01-14,193,South,SKU19
2023-05-05,213,North,SKU8
2022-08-19,200,West,SKU11
2022-02-10,207,East,SKU1
2022-01-28,187,East,SKU1
2022-05-15,204,North,SKU12
2022-07-20,224,North,SKU16
2022-02-02,210,West,SKU8
2022-02-17,214,South,SKU14
2023-05-18,179,South,SKU7
2023-02-11,189,North,SKU18
2023-07-28,192,North,SKU13
2023-12-29,204,East,SKU13
2022-04-09,190,North,SKU9
2023-11-15,181,East,SKU18
2023-12-27,207,South,SKU3
2023-07-01,210,South,SKU3
2023-09-05,204,East,SKU14
2023-04-07,171,West,SKU9
2023-10-05,176,South,SKU16
2022-01-05,205,West,SKU5
2022-08-06,182,East,SKU13
2023-05-18,200,West,SKU8
2023-02-02,185,East,SKU19
2023-01-28,193,East,SKU9
2022-07-26,185,North,SKU9
2022-01-15,193,South,SKU10
2023-07-08,194,South,SKU9
2023-04-06,165,East,SKU12
2023-11-22,197,West,SKU12
2023-07-29,195,North,SKU11
2022-08-29,220,West,SKU20
2023-07-18,216,South,SKU18
2022-04-06,184,West,SKU7
2023-04-30,200,North,SKU1
2023-02-11,185,West,SKU7
2022-08-19,201,South,SKU1
2023-10-17,204,East,SKU14
2022-06-20,194,South,SKU13
2023-06-25,214,North,SKU13
2022-02-05,205,East,SKU17
2023-06-09,207,North,SKU8
2022-06-09,202,South,SKU17
2023-11-30,208,West,SKU13
2022-08-31,214,South,SKU17
2022-03-27,197,West,SKU15
2023-08-01,202,East,SKU2
2023-11-13,209,West,SKU13
2023-07-11,189,West,SKU20
2023-07-28,194,East,SKU8
2023-10-08,189,North,SKU3
2022-01-28,192,East,SKU7
2023-09-12,231,North,SKU17
2023-07-10,211,East,SKU6
2022-12-06,193,West,SKU6
2022-11-27,170,South,SKU11
2023-10-02,208,West,SKU6
2023-05-21,236,North,SKU2
2022-12-14,216,South,SKU3
2023-04-18,172,West,SKU2
2022-08-19,217,West,SKU3
2022-07-09,228,South,SKU1
2022-08-13,210,West,SKU7
2023-01-20,195,North,SKU16
2023-01-12,197,East,SKU16
2022-10-10,203,North,SKU17
2023-09-25,208,West,SKU1
2023-09-20,198,South,SKU18
2022-09-16,206,South,SKU7
2022-12-25,206,South,SKU9
2023-12-11,188,West,SKU3
2023-04-01,193,South,SKU16
2023-02-15,206,North,SKU3
2023-10-11,199,North,SKU6
2022-11-14,193,West,SKU19
2023-11-08,207,North,SKU14
2022-08-13,185,North,SKU3
2022-08-22,203,South,SKU6
2023-11-15,202,East,SKU17
2023-10-26,196,North,SKU4
2023-01-09,217,West,SKU4
2023-11-03,204,South,SKU10
2023-08-31,186,North,SKU15
2023-04-17,207,West,SKU17
2022-08-21,197,West,SKU20
2023-11-23,208,South,SKU17
2022-04-23,197,West,SKU11
2023-05-12,184,East,SKU4
2023-03-18,182,East,SKU13
2023-07-18,187,North,SKU19
2022-09-25,219,East,SKU14
2023-05-25,197,South,SKU11
2023-01-21,182,South,SKU6
2023-01-22,204,North,SKU16
2022-04-23,219,East,SKU11
2023-09-05,207,West,SKU19
2023-09-17,180,West,SKU6
2022-03-22,186,East,SKU12
2023-11-30,192,South,SKU19
2022-04-23,197,South,SKU18
2022-01-02,203,South,SKU14
2023-10-04,216,South,SKU9
2022-08-08,194,East,SKU10
2023-07-20,221,North,SKU15
2022-08-13,204,East,SKU18
2023-01-20,182,East,SKU17
2023-02-07,193,South,SKU20
2023-09-30,216,South,SKU13
2022-05-10,206,South,SKU16
2022-02-22,186,North,SKU7
2023-11-15,203,North,SKU6
2023-12-31,200,South,SKU13
2023-11-03,218,South,SKU12
2023-12-11,189,East,SKU15
2023-02-20,195,East,SKU4
2022-09-04,232,East,SKU12
2023-03-15,200,South,SKU20
2022-07-22,196,East,SKU10
2022-07-03,232,West,SKU8
2022-05-03,194,North,SKU14
2023-02-05,209,East,SKU14
2022-10-21,199,North,SKU7
2022-10-07,190,East,SKU10
2023-09-02,196,North,SKU10
2022-07-17,187,South,SKU18
2023-05-26,217,West,SKU17
2022-05-24,219,North,SKU18
2023-09-01,205,East,SKU14
2022-07-20,219,South,SKU5
2022-05-04,202,West,SKU7
2022-07-06,180,South,SKU17
2022-11-22,192,South,SKU2
2023-04-09,227,North,SKU4
2022-12-15,168,West,SKU9
2023-10-22,184,South,SKU8
2023-02-07,216,East,SKU4
2022-12-12,205,South,SKU11
2023-05-26,191,East,SKU7
2022-05-27,225,South,SKU11
2022-05-28,203,West,SKU3
2023-12-12,195,West,SKU12
2023-05-04,207,West,SKU8
2023-10-02,189,North,SKU7
2023-07-05,206,South,SKU13
2022-12-04,201,West,SKU4
2023-10-03,213,East,SKU19
2023-04-18,195,East,SKU3
2022-05-31,190,South,SKU11
2023-02-19,183,West,SKU6
2022-10-25,201,North,SKU16
2023-09-03,203,West,SKU8
2022-09-20,192,South,SKU11
2022-05-24,201,North,SKU9
2022-12-12,179,East,SKU1
2023-09-16,193,West,SKU7
2023-07-26,225,West,SKU10
2022-01-02,216,East,SKU9
2022-10-31,196,South,SKU13
2022-09-11,219,North,SKU18
2023-10-14,184,East,SKU16
2023-03-29,215,North,SKU4
2022-02-06,200,South,SKU6
2022-06-09,207,North,SKU20
2022-01-09,203,North,SKU9
2022-08-21,202,West,SKU12
2022-04-09,199,East,SKU12
2023-10-21,201,North,SKU1
2022-07-27,196,North,SKU9
2022-05-11,207,East,SKU10
2023-02-08,195,East,SKU17
2022-06-01,195,South,SKU1
2022-02-23,220,East,SKU1
2022-04-30,201,North,SKU10
2023-11-04,198,West,SKU9
2023-09-20,196,South,SKU9
2023-08-10,202,East,SKU5
2023-09-17,223,East,SKU2
2023-02-24,186,East,SKU14
2023-02-26,212,South,SKU12
2022-04-14,188,South,SKU16
2022-09-11,205,East,SKU16
2022-08-15,193,South,SKU9
2022-04-22,178,West,SKU19
2023-05-25,195,North,SKU20
2023-04-18,191,West,SKU20
2022-04-09,187,North,SKU19
2022-06-02,215,South,SKU10
2022-12-04,213,East,SKU11
2023-12-07,187,South,SKU20
2022-06-12,199,West,SKU5
2023-12-21,191,West,SKU20
2023-11-12,198,South,SKU16
2022-06-10,190,East,SKU19
2023-08-03,209,East,SKU12
2023-02-02,226,North,SKU17
2022-10-04,203,West,SKU2
2023-05-19,207,North,SKU9
2023-01-27,189,South,SKU18
2022-05-15,208,North,SKU2
2022-07-14,192,East,SKU10
